Country,Warming since 1960
Afghanistan,3.32 + 0.34
?land,3.01 + 0.24
Albania,1.97 + 0.28
Algeria,2.86 + 0.28
American Samoa,1.43 + 0.57
Andorra,2.75 + 0.29
Angola,1.61 + 0.34
Anguilla,1.91 + 0.31
Antarctica,1.05 + 0.76
Antigua and Barbuda,1.86 + 0.28
Argentina,1.11 + 0.26
Armenia,2.38 + 0.29
Aruba,1.31 + 0.34
Australia,1.40 + 0.25
Austria,2.90 + 0.28
Azerbaijan,2.57 + 0.35
Bahamas,1.53 + 0.29
Bahrain,3.13 + 0.55
Baker Island,1.22 + 0.17
Bangladesh,0.90 + 0.41
Barbados,1.66 + 0.32
Belarus,3.16 + 0.21
Belgium,2.84 + 0.20
Belize,1.23 + 0.26
Benin,1.82 + 0.42
Bhutan,1.25 + 0.60
Bolivia,0.65 + 0.29
"Bonaire, Saint Eustatius and Saba",1.43 + 0.34
Bosnia and Herzegovina,2.61 + 0.30
Botswana,1.38 + 0.29
Brazil,1.70 + 0.17
British Virgin Islands,1.88 + 0.30
Bulgaria,2.01 + 0.25
Burkina Faso,1.79 + 0.34
Burma,0.99 + 0.30
Burundi,1.90 + 0.24
Cambodia,1.05 + 0.27
Cameroon,1.61 + 0.41
Canada,3.64 + 0.24
Cape Verde,2.09 + 0.57
Cayman Islands,1.47 + 0.30
Central African Republic,1.78 + 0.33
Chad,2.07 + 0.60
Chile,0.96 + 0.37
China,2.09 + 0.23
Christmas Island,1.60 + 0.27
Colombia,1.23 + 0.22
Comoros,1.92 + 0.32
Congo,1.47 + 0.43
Congo (Democratic Republic of the),1.70 + 0.23
Costa Rica,1.60 + 0.45
C?te d'Ivoire,1.80 + 0.29
Croatia,2.82 + 0.31
Cuba,1.46 + 0.25
Cura?ao,1.32 + 0.37
Cyprus,1.92 + 0.33
Czech Republic,2.73 + 0.26
Denmark,3.56 + 0.74
Denmark (Europe),2.86 + 0.23
Djibouti,2.29 + 0.44
Dominica,1.75 + 0.31
Dominican Republic,1.67 + 0.33
Ecuador,1.31 + 0.36
Egypt,2.03 + 0.33
El Salvador,1.41 + 0.30
Equatorial Guinea,1.48 + 0.39
Eritrea,2.29 + 0.39
Estonia,3.01 + 0.27
Ethiopia,2.19 + 0.25
Falkland Islands (Islas Malvinas),1.37 + 0.38
Faroe Islands,1.74 + 0.63
